"ID","CURRENT GENE LIST","GeneID"
182,"GSK3B",2932
183,"MCL1",4170
184,"NTRK1",4914
185,"RPTOR",57521
186,"WT1",7490
187,"BCOR",54880
188,"CIC",23152
189,"FANCF",2188
190,"HGF",3082
191,"MDM2",4193
192,"NTRK2",4915
193,"RUNX1",861
194,"XPO1",7514
195,"BCORL1",63035
196,"CREBBP",1387
197,"FANCG",2189
198,"HRAS",3265
199,"MDM4",4194
200,"NTRK3",4916
201,"SETD2",29072
202,"ZNF217",7764
203,"BLM",641
204,"CRKL",1399
205,"FANCL",55120
206,"IDH1",3417
207,"MED12",9968
208,"NUP93",9688
209,"SF3B1",23451
210,"ZNF703",80139
211,"BRAF",673
212,"CRLF2",64109
213,"FBXW7",55294
214,"IDH2",3418
215,"MEF2B",100271849
216,"PAK3",5063
217,"SMAD2",4087
218,"BRCA1",672
219,"CSF1R",1436
220,"FGF10",2255
221,"IGF1R",3480
222,"MEN1",4221
223,"PALB2",79728
224,"SMAD4",4089
225,"BRCA2",675
226,"CTCF",10664
227,"FGF14",2259
228,"IKBKE",9641
229,"MET",4233
230,"PAX5",5079
231,"SMARCA4",6597
232,"BRIP1",83990
233,"CTNNA1",1495
234,"FGF19",9965
235,"IKZF1",10320
236,"MITF",4286
237,"PBRM1",55193
238,"SMARCB1",6598
239,"ALK",238
240,"BCR",613
241,"BCL2",596
242,"BRAF",673
243,"EGFR",1956
244,"ETV1",2115
245,"ETV4",2118
246,"ETV5",2119
247,"ETV6",2120
248,"EWSR1",2130
249,"MLL",8522
250,"MYC",4609
251,"NTRK1",4914
252,"PDGFRA",5156
253,"RAF1",5894
254,"RARA",5914
255,"RET",5979
256,"ROS1",6098
257,"TMPRSS2",7113
